Ministries/Departments,Head Of Expenditure,Detailed Head Of Expenditure,Actual 2021-2022 Total,Budget 2022-2023 Total,Revised 2022-2023 Total,Budget 2023-2024 Total,Anomaly,Anomaly_Flag
Atomic Energy,Secretariat,Total Secretariat,59.5,68.4,77.58,73.88,1,Normal
Atomic Energy,Atomic Energy Regulatory Board,Total Atomic Energy Regulatory Board,76.33,95.15,93.73,119.98,1,Normal
Atomic Energy,Atomic Research Centres,Total Atomic Research Centres,3841.97,4298.05,4542.63,119.98,1,Normal
Atomic Energy,Atomic Research Centres,Bhabha Atomic Research Centre,2614.95,2918.0,3148.14,2991.73,1,Normal
Atomic Energy,Atomic Research Centres,"Indira Gandhi Centre for Atomic Research, Kalpakkam",479.65,510.43,566.89,529.65,1,Normal
Atomic Energy,Atomic Research Centres,"Raja Ramana Centre for Advanced Technology, Indore",357.0,387.56,397.71,405.56,1,Normal
Atomic Energy,Atomic Research Centres,"Variable Energy Cyclotrone Centre, Kolkata",131.94,143.21,153.01,171.7,1,Normal
Atomic Energy,Atomic Research Centres,"Atomic Minerals Directorate for Exploration and Research, Hyderabad",317.45,374.35,337.63,392.79,1,Normal
Atomic Energy,Fuel Cycle Facility (Nuclear Regulatory Board),Total Fuel Cycle Facility (Nuclear Regulatory Board),524.18,712.64,830.13,797.14,1,Normal
Atomic Energy,Service Units,Total Service Units,431.34,483.26,507.77,510.52,1,Normal
Atomic Energy,Board of Radiation and Isotope Technology (BRIT),Total Board of Radiation and Isotope Technology (BRIT),108.42,117.88,117.03,117.06,1,Normal
Atomic Energy,Management Services Group,Total Management Services Group,0.71,0.96,0.96,1.06,1,Normal
Atomic Energy,Nuclear Fuel Complex,Total Nuclear Fuel Complex,1510.05,-984.01,1709.38,1.06,1,Normal
Atomic Energy,Nuclear Fuel Complex,Gross Budgetary Support,3769.5,2917.69,4460.18,2919.34,1,Normal
Atomic Energy,Nuclear Fuel Complex,Less Receipts,-2211.07,-3861.7,-2710.8,-3339.59,1,Normal
Atomic Energy,Nuclear Fuel Complex,Less Recoveries,-48.38,-40.0,-40.0,-40.0,1,Normal
Atomic Energy,Heavy Water Production Facility,Total Heavy Water Production Facility,236.26,-54.79,-34.16,-40.0,1,Normal
Atomic Energy,Heavy Water Production Facility,Gross Budgetary Support,1450.81,1469.76,1576.38,1473.43,1,Normal
Atomic Energy,Heavy Water Production Facility,Less - Recovery,-1214.55,-1524.55,-1610.54,-1718.35,1,Normal
Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),Total R&D projects of Bhabha Atomic Research Centre (BARC),1308.77,1258.94,955.29,1012.9,1,Normal
Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),Total R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),232.92,244.04,212.01,214.41,1,Normal
Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),Total R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),89.26,100.0,125.0,140.69,1,Normal
Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),Total R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),144.06,171.37,221.84,221.75,1,Normal
Atomic Energy,Grants to other Institutions,Total Grants to other Institutions,61.88,71.0,100.0,100.0,1,Normal
Atomic Energy,Fuel Recycle Projects (NRB),Total Fuel Recycle Projects (NRB),646.13,800.0,703.5,805.21,1,Normal
Atomic Energy,Housing Projects,Total Housing Projects,216.74,182.5,165.0,206.9,1,Normal
Atomic Energy,Improvement/Modifications of Heavy water projects,Total Improvement/Modifications of Heavy water projects,33.42,25.97,32.0,50.23,1,Normal
